date,province,confirm,confirm_add,local_confirm_add,Infected,Healed,dead,dead_add,Asymptom,asy_add
2022-03-10,上海,4720,43.0,-10,646,4067,7,0,370,-10
2022-03-11,上海,4747,27.0,-10,653,4087,7,0,448,-10
2022-03-12,上海,4761,14.0,-10,641,4113,7,0,512,-10
2022-03-13,上海,4818,57.0,-10,665,4146,7,0,638,-10
2022-03-14,上海,4839,21.0,-10,671,4161,7,0,767,-10
2022-03-15,上海,4854,15.0,-10,653,4194,7,0,961,-10
2022-03-16,上海,4877,23.0,-10,643,4227,7,0,1106,-10
2022-03-17,上海,4944,67.0,-10,656,4281,7,0,1297,-10
2022-03-18,上海,4964,20.0,-10,650,4307,7,0,1657,-10
2022-03-19,上海,4986,22.0,-10,551,4428,7,0,2099,-10
2022-03-20,上海,5027,41.0,-10,548,4472,7,0,2793,-10
2022-03-21,上海,5066,39.0,-10,447,4612,7,0,3505,-10
2022-03-22,上海,5080,14.0,-10,438,4635,7,0,4408,-10
2022-03-23,上海,5094,14.0,-10,371,4716,7,0,5170,-10
2022-03-24,上海,5135,41.0,-10,349,4779,7,0,6750,-10
2022-03-25,上海,5182,47.0,-10,375,4800,7,0,8674,-10
2022-03-26,上海,5233,51.0,-10,393,4833,7,0,11095,-10
2022-03-27,上海,5293,60.0,-10,416,4870,7,0,14376,-10
2022-03-28,上海,5400,107.0,-10,495,4898,7,0,18531,-10
2022-03-29,上海,5729,329.0,-10,779,4943,7,0,23896,-10
2022-03-30,上海,6087,358.0,-10,1108,4972,7,0,28860,-10
2022-03-31,上海,6452,365.0,-10,1447,4998,7,0,32648,-10
2022-04-01,上海,6714,262.0,-10,1670,5037,7,0,38162,-10
2022-04-02,上海,7158,444.0,-10,2083,5068,7,0,45362,-10
2022-04-03,上海,7591,433.0,-10,2486,5098,7,0,53418,-10
2022-04-04,上海,7862,271.0,-10,2730,5125,7,0,65981,-10
2022-04-05,上海,8177,315.0,-10,3004,5166,7,0,82221,-10
2022-04-06,上海,8506,329.0,-10,3286,5213,7,0,101116,-10
2022-04-07,上海,9334,828.0,-10,4057,5270,7,0,120494,-10
2022-04-08,上海,10351,1017.0,-10,4955,5389,7,0,141808,-10
2022-04-09,上海,10351,1017.0,-10,4955,5389,7,0,141808,-10
2022-04-10,上海,12283,917.0,-10,6362,5914,7,0,186992,-10
2022-04-11,上海,12283,917.0,-10,6362,5914,7,0,186992,-10
2022-04-12,上海,14471,1190.0,-10,7818,6646,7,0,224691,-10
2022-04-13,上海,17044,2573.0,-10,9650,7387,7,0,234431,-10
2022-04-14,上海,20244,3200.0,-10,12301,7936,7,0,246233,-10
2022-04-15,上海,23838,3594.0,-10,15895,7936,7,0,265234,-10
2022-04-16,上海,27078,3240.0,-10,18762,8309,7,0,276479,-10
2022-04-17,上海,29498,2417.0,-10,19467,10021,10,0,276837,-10
